iter	Passed	Remaining
413	3432	4858
414	3440	4849
415	3448	4840
416	3456	4831
417	3463	4822
418	3473	4815
419	3481	4807
420	3489	4799
421	3497	4790
422	3506	4782
423	3514	4774
424	3522	4766
425	3531	4758
426	3540	4750
427	3547	4741
428	3555	4732
429	3563	4724
430	3571	4715
431	3579	4706
432	3588	4698
433	3596	4689
434	3603	4681
435	3611	4672
436	3619	4663
437	3628	4655
438	3636	4647
439	3645	4639
440	3652	4630
441	3661	4621
442	3669	4614
443	3678	4606
444	3686	4597
445	3693	4588
446	3701	4579
447	3709	4571
448	3718	4562
449	3726	4554
450	3734	4546
451	3743	4538
452	3751	4529
453	3758	4520
454	3767	4512
455	3776	4505
456	3783	4495
457	3791	4486
458	3799	4478
459	3808	4470
460	3817	4463
461	3826	4456
462	3835	4448
463	3844	4440
464	3852	4432
465	3861	4424
466	3870	4417
467	3878	4409
468	3887	4401
469	3895	4393
470	3903	4384
471	3910	4375
472	3918	4365
473	3926	4356
474	3934	4348
475	3942	4340
476	3951	4332
477	3959	4324
478	3968	4316
479	3975	4307
480	3983	4298
481	3992	4290
482	4001	4282
483	4009	4274
484	4017	4265
485	4025	4257
486	4033	4248
487	4041	4239
488	4048	4231
489	4056	4221
490	4064	4213
491	4072	4204
492	4079	4195
493	4087	4186
494	4095	4178
495	4102	4168
496	4110	4160
497	4119	4152
498	4126	4143
499	4134	4134
500	4142	4126
501	4151	4118
502	4159	4109
503	4167	4101
504	4176	4094
505	4185	4085
506	4193	4078
507	4202	4070
508	4211	4062
509	4219	4053
510	4226	4044
511	4234	4036
512	4242	4027
513	4249	4018
514	4257	4009
515	4265	4001
516	4273	3992
517	4281	3983
518	4289	3975
519	4297	3967
520	4305	3958
521	4313	3949
522	4321	3941
523	4329	3932
524	4337	3924
525	4346	3916
526	4355	3908
527	4363	3900
528	4371	3891
529	4379	3883
530	4387	3875
531	4395	3866
532	4403	3857
533	4410	3848
534	4418	3840
535	4426	3832
536	4434	3823
537	4441	3814
538	4449	3805
539	4457	3796
540	4465	3788
541	4473	3780
542	4481	3771
543	4488	3762
544	4496	3753
545	4504	3745
546	4512	3736
547	4519	3727
548	4528	3719
549	4536	3711
550	4544	3702
551	4552	3694
552	4560	3686
553	4568	3677
554	4576	3669
555	4585	3661
556	4592	3652
557	4600	3644
558	4608	3635
559	4616	3626
560	4623	3618
561	4631	3609
562	4640	3602
563	4648	3593
564	4656	3585
565	4664	3576
566	4671	3567
567	4679	3559
568	4687	3550
569	4695	3542
570	4704	3534
571	4712	3525
572	4719	3517
573	4728	3509
574	4737	3501
575	4745	3493
576	4753	3484
577	4761	3476
578	4769	3467
579	4777	3459
580	4785	3451
581	4793	3442
582	4801	3434
583	4808	3425
584	4816	3416
585	4823	3407
586	4831	3399
587	4839	3390
588	4847	3382
589	4855	3373
590	4862	3365
591	4870	3356
592	4879	3348
593	4887	3340
594	4895	3331
595	4902	3323
596	4910	3314
597	4917	3305
598	4925	3297
599	4933	3288
600	4941	3280
601	4950	3272
602	4958	3264
603	4966	3256
604	4974	3247
605	4982	3239
606	4989	3230
607	4997	3222
608	5005	3214
609	5013	3205
610	5020	3196
611	5028	3188
612	5036	3179
613	5045	3171
614	5053	3163
615	5061	3155
616	5069	3147
617	5077	3138
618	5085	3130
619	5093	3121
620	5101	3113
621	5108	3104
622	5116	3096
623	5125	3088
624	5133	3080
625	5141	3071
626	5149	3063
627	5158	3055
628	5166	3047
629	5173	3038
630	5181	3030
631	5189	3021
632	5197	3013
633	5204	3004
634	5213	2996
635	5221	2988
636	5229	2980
637	5238	2972
638	5247	2964
639	5255	2956
640	5263	2947
641	5270	2939
642	5278	2930
643	5287	2922
644	5295	2914
645	5303	2906
646	5310	2897
647	5318	2888
648	5325	2880
649	5333	2872
650	5342	2863
651	5350	2855
652	5358	2847
653	5366	2839
654	5375	2831
655	5382	2822
656	5390	2814
657	5398	2806
658	5408	2798
659	5417	2790
660	5425	2782
661	5434	2774
662	5442	2766
663	5451	2758
664	5458	2749
665	5467	2741
666	5474	2733
667	5484	2725
668	5492	2717
669	5501	2709
