iter	Logloss
0	0.5932862983
1	0.510975606
2	0.4466509633
3	0.3919233984
4	0.3514991047
5	0.3226208906
6	0.29583149
7	0.2750318874
8	0.2589502257
9	0.2465624491
10	0.235780888
11	0.2281168812
12	0.2210266895
13	0.2143550561
14	0.2093630925
15	0.2048374192
16	0.2012524297
17	0.198670556
18	0.1961543247
19	0.194082883
20	0.1924164247
21	0.1903388183
22	0.1891308169
23	0.1876570286
24	0.1863603142
25	0.1854030717
26	0.1848027376
27	0.1838989724
28	0.183205647
29	0.1827312725
30	0.1821265532
31	0.1815538551
32	0.1812060368
33	0.18080129
34	0.1805106487
35	0.1802640335
36	0.1800474822
37	0.1798146983
38	0.1796368266
39	0.1793347653
40	0.1792097711
41	0.1789400788
42	0.1787658048
43	0.1785627403
44	0.1783565801
45	0.1781912911
46	0.1780304958
47	0.1778702635
48	0.1777648156
49	0.1776111261
50	0.1774890885
51	0.1773460983
52	0.1772592271
53	0.1772054488
54	0.1770994067
55	0.176989408
56	0.1769181225
57	0.1768314938
58	0.1767384147
59	0.1766374373
60	0.1765538959
61	0.1764765065
62	0.1763844087
63	0.1763144976
64	0.1762370844
65	0.1761510383
66	0.1760949617
67	0.1760404582
68	0.1759859536
69	0.1758959882
70	0.1758267081
71	0.1757898679
72	0.1757537569
73	0.175691864
74	0.1756629446
75	0.1755939832
76	0.1755316799
77	0.1754800701
78	0.1754377249
79	0.175369852
80	0.1753131023
81	0.1752486982
82	0.1752273929
83	0.1751834397
84	0.1751331383
85	0.1751152711
86	0.1750780679
87	0.1750257747
88	0.1749995
89	0.1749481746
90	0.174871833
91	0.1748422803
92	0.1747955822
93	0.1747490478
94	0.1746817061
95	0.1746459923
96	0.1746241697
97	0.1745959444
98	0.1745476602
99	0.1745057618
100	0.174477476
101	0.174441941
102	0.1744013039
103	0.1743563436
104	0.1743173527
105	0.1742918341
106	0.1742306912
107	0.1741427064
108	0.1741244394
109	0.1740565542
110	0.1740114071
111	0.1739799722
112	0.1739385566
113	0.173905889
114	0.1738396821
115	0.1738123165
116	0.1737756014
117	0.1737326589
118	0.1736852184
119	0.1736601518
120	0.1736247222
121	0.1735869246
122	0.1735590762
123	0.1735288124
124	0.1734714319
125	0.1734284441
126	0.173412276
127	0.1733818263
128	0.1733458379
129	0.1733050572
130	0.1732822517
131	0.1732593054
132	0.1732252787
133	0.1731694309
134	0.1731249857
135	0.1730958708
136	0.1730687987
137	0.1730437892
138	0.1730106879
139	0.172964997
140	0.172951098
141	0.1728975955
142	0.172855065
143	0.1728179103
144	0.1727815841
145	0.1727475187
146	0.1726954948
147	0.1726574268
148	0.172616197
149	0.1725839784
150	0.1725301682
151	0.1725021514
152	0.1724587365
153	0.1724047853
154	0.1723536366
155	0.1723010799
156	0.1722734579
157	0.1722455821
158	0.1722148985
159	0.1721545757
160	0.1721186835
161	0.1720893109
162	0.1720746327
163	0.1720050761
164	0.1719666102
165	0.1719482
166	0.1719103906
167	0.1718771783
168	0.1718421725
169	0.1718197372
170	0.1717662531
171	0.17174827
172	0.1716965741
173	0.1716538495
174	0.1716091531
175	0.1715819879
176	0.1715369757
177	0.1715169634
178	0.1714775081
179	0.1714224497
180	0.1713626702
181	0.1713302665
182	0.1713016227
183	0.1712577963
184	0.1712136394
185	0.1711792517
186	0.1711658897
187	0.1711298647
188	0.1710973042
189	0.1710415849
190	0.17097971
191	0.1709461839
192	0.1709072273
193	0.170869864
194	0.1708292077
195	0.1708022061
196	0.1707692383
197	0.1707310019
198	0.1707036671
199	0.170663009
200	0.170632658
201	0.1706112478
202	0.1705656922
203	0.1705363601
204	0.1705160386
205	0.1704862665
206	0.1704583194
207	0.1704355305
208	0.1704229792
209	0.1703723744
210	0.1703236165
211	0.1703055167
212	0.1702706933
213	0.1702445042
214	0.1702313229
215	0.1702038057
216	0.1701535729
217	0.1701027942
218	0.1700891458
219	0.1700554331
220	0.1700084192
221	0.1699815083
222	0.1699557797
223	0.1699297348
224	0.1698962616
225	0.1698607211
226	0.1698349719
227	0.1697853286
228	0.1697392457
229	0.1697040739
230	0.169655565
231	0.1696454067
232	0.1695984729
233	0.1695360754
234	0.1694877799
235	0.1694517981
236	0.1693986688
237	0.1693615644
238	0.1693509099
239	0.1693286711
240	0.1692999394
241	0.169257215
242	0.1692123511
243	0.1691945372
244	0.1691592927
245	0.1691241789
246	0.1691029251
247	0.1690857081
248	0.1690558771
249	0.1690037738
250	0.1689657723
251	0.1689342899
252	0.1688897248
253	0.1688447106
254	0.1688123114
255	0.168772036
256	0.1687396621
257	0.1687100381
258	0.1686676916
259	0.1686501622
260	0.1686192263
261	0.1685946074
262	0.1685783615
263	0.1685507262
264	0.1685163781
265	0.1684847391
266	0.1684550556
267	0.1684132629
268	0.1683732706
269	0.1683421242
270	0.1683091113
271	0.1682798033
272	0.1682606917
273	0.1682213574
274	0.168187947
275	0.1681576111
276	0.1681392347
277	0.168116717
278	0.1680851695
279	0.1680559857
280	0.1680338129
281	0.1680001628
